,0
tachypnea$finding,1
significant$modifier$changes$finding,1
worsening$modifier$respiratory distress$problem,1
bony complaints$problem,1
inferolateral wall$anatomical_structure,1
balloon tipped gastrostomy tube$medical_device,1
b12 deficiency$problem,1
metastasis$problem,2
obstructive uropathy$problem,1
cardiac issues$problem,1
debrided$procedure,2
normal$modifier$rectal findings$finding,1
large$modifier$dominant$modifier$right$modifier$thyroid$anatomical_structure$nodule$problem,1
immunohistochemical analysis$laboratory_data,1
ards$problem$resolved$modifier,1
syncope$problem,9
multivitamins$medicine,2
intermediate-to-high$modifier$pe$problem,1
abdomen$anatomical_structure$organomegaly$problem,3
weight$body_measurement$130$measurement_value$stable$modifier,1
lesion$problem$antral$anatomical_structure,1
sweat$finding$profusely$modifier,1
pain$problem$right$modifier$lower$modifier$extremity$anatomical_structure,1
facet joint arthropathy$problem$bilateral$modifier$l3-l4$anatomical_structure,1
weakness$problem$right$modifier$leg$anatomical_structure,1
colace$medicine,7
ruptured$finding$membranes$anatomical_structure,1
ast$laboratory_data,4
transverse$anatomical_structure$left$modifier$unremarkable$modifier,1
malfunctioning$problem,1
fourth toe$anatomical_structure,1
straight catheterized$procedure,1
selective laser trabeculoplasty$procedure$right$modifier$eye$anatomical_structure,1
nose$anatomical_structure$unremarkable$modifier,2
blood pressure$body_measurement$119/77$measurement_value,1
blade$medical_device,10
possible$modifier$infection$problem,1
hydrea$medicine,1
right$modifier$upper$modifier$lobe$anatomical_structure$apical posterior segment$anatomical_structure$biopsy$procedure,1
fecaliths$finding$absent$modifier,1
grade 1$modifier$degenerative spondylolisthesis$problem$l4-l5$anatomical_structure,1
temperature$body_measurement$96$measurement_value,1
igg kappa$laboratory_data,1
tumor$problem,4
renal failure$problem,14
pulmonary$problem,2
endotracheal intubation$procedure,3
symptomatic atrial fibrillation$problem,2
apparent distress$problem,4
passing flatus$body_function,1
tobacco use$problem,1
squamous mucosa$anatomical_structure$focal nuclear enlargement$problem,1
residual$modifier$disease$problem$vulva$anatomical_structure,1
possible$modifier$turbt$procedure,1
thyroid$anatomical_structure$unremarkable$modifier,1
decreased mobility skills$problem,1
agitated$problem,3
cerebral artery$anatomical_structure$thrombosis$problem,1
candida albicans$problem$treated$modifier,1
anterior$modifier$wall$anatomical_structure,1
large$modifier$right$modifier$ovarian cyst$problem,1
in-stent restenosis$procedure,1
cervical nodes$anatomical_structure,1
topical gel$medicine,1
painful$problem,1
gastroscopy$procedure,1
metastatic non-small-cell lung cancer$problem,2
weakness$problem,1
brightness acuity degradation$problem$eyes$anatomical_structure,1
fast ventricular rate$finding,1
pulse$body_measurement$68$measurement_value$regular$modifier,1
fundus$anatomical_structure,2
temperature$body_measurement$97.6$measurement_value,2
pain pump$medical_device,1
chronic$modifier$dialysis$procedure,1
stereotactic biopsy$procedure,1
cystoscope$medical_device,1
clindamycin$medicine,1
recent$modifier$gi (gastrointestinal) bleed$problem,1
right$modifier$hip replacement$procedure,1
recurrent$modifier$vomiting$problem,1
left$modifier$great toe joint$anatomical_structure,1
aortic stenosis$problem,6
filter thrombus$problem,1
pacemaker$medical_device,4
teeth$anatomical_structure$dry$modifier,1
deep pigmentation$finding$neck$anatomical_structure,1
mycamine$medicine,1
lightheadedness$finding,4
visual loss$problem$left$modifier$eye$anatomical_structure,1
long-acting insulin$medicine,1
suctioning$procedure,1
problem$problem$gi system$anatomical_structure,1
chest$anatomical_structure$rhonchi$problem,3
intermittent photic stimulation$procedure,1
significant$modifier$esophagitis$problem,1
blood transfusions$procedure,1
sleeping medication$medicine,1
tachycardia$finding$resolved$modifier,1
little$modifier$tender$problem,1
silk single tie$medical_device,1
soft tissue$anatomical_structure$swelling$problem,1
residual bleeding$problem,1
inguinal$anatomical_structure$lymphadenopathy$problem,2
minimal$modifier$internal hemorrhoidal vein dilation$problem,1
heart sounds$body_function,1
duodenum$anatomical_structure$normal$modifier,1
neck$anatomical_structure$nontender$modifier,1
suspected$modifier$pyelonephritis$problem,1
pulse$body_measurement$55$measurement_value,1
prepped$procedure,2
positive$modifier$axillary lymph nodes$anatomical_structure,1
bmp$laboratory_data,4
translucent membranous connective tissue$anatomical_structure,1
bladder$problem,1
respiratory rate$body_measurement$34$measurement_value,1
hemoglobin$laboratory_data$normal$modifier,1
radiation simulation$procedure,1
slightly elevated$modifier$psa$laboratory_data,1
marcaine$medicine,5
eyes$anatomical_structure$normal$modifier,3
epileptiform discharges$problem,1
acute$modifier$distress$problem,34
abdomen$anatomical_structure$soft$modifier$nondistended$modifier$nontender$modifier,6
additional$modifier$anti-anginal meds$medicine,1
small$modifier$bleeding point$problem,1
cervix$anatomical_structure$lacerations$problem,1
trimmed placenta$anatomical_structure,1
ringer's lactate$medicine,1
acute coronary syndrome$problem,3
ascending colon$anatomical_structure$tan biopsies$procedure,1
colon$anatomical_structure,1
digital imaging$procedure,1
disoriented$problem,1
firm$modifier$yellow-white tissue$finding,1
initial enzymes$laboratory_data$negative$modifier,1
symptomatic bradycardia$finding,1
neoplasia$problem,2
nodular lesion$problem,1
lovenox$medicine,12
traumatic brain injury$problem,20
eyes$anatomical_structure$crusting$finding,1
blood pressure$body_measurement$elevated$modifier,1
heent$anatomical_structure$normocephalic$modifier$atraumatic$modifier,2
emesis$problem,2
hemostat$medical_device,1
thrush$problem,1
pots$problem,1
multiparous$finding,1
profound$modifier$neurogenic weakness$problem,1
diabetic peripheral neuropathy$problem,1
air$finding$cavernous sinuses$anatomical_structure,1
bilateral$modifier$lung$anatomical_structure$infiltration$problem,1
thrombocytopenia$problem$worsening$modifier,1
flank$problem,1
seroma$problem,1
maternal blood type$laboratory_data$o+$modifier,1
oxygen$body_measurement,1
small$modifier$hyperplastic polyp$problem,1
benign prostatic hyperplasia$problem,4
rectus muscle$anatomical_structure,1
hearing difficulty$problem,2
hysterectomy$procedure,7
insulin therapy$procedure,1
percutaneous balloon angioplasty$procedure,1
anasarca$problem,2
thrombotic complications$problem,1
tia$procedure,1
respiratory rate$body_measurement$22$measurement_value,1
vulva$anatomical_structure$prepped and draped$procedure,1
diverticulum$problem$absent$modifier,1
apgars$body_measurement$8$measurement_value,1
ultrasound$procedure,8
cautery$medical_device,2
vomiting blood$problem,1
bite block$medical_device,1
prior$modifier$surgeries$procedure$right$modifier$ankle$anatomical_structure,1
advanced$modifier$chronic kidney disease$problem,1
knee$anatomical_structure$arthroplasty$procedure,1
viscoat$medicine,1
sensipar$medicine,2
deep$modifier$anterior$modifier$chamber$anatomical_structure,1
sinus bradycardia$problem,1
expressive aphasia$problem,2
abdomen$anatomical_structure$benign$modifier,1
iron$laboratory_data,1
cellulitis$problem,1
bp$body_measurement,3
pericardial puncture$procedure,1
invasive carcinoma$problem,1
blood pressure$body_measurement$102/52$measurement_value,1
procedures$procedure,4
neutrophil$laboratory_data,2
lethargic$finding,4
stage iv$modifier$non-small adenocarcinoma$problem$poorly differentiated$modifier$left$modifier$upper$modifier$lobe$anatomical_structure,1
morphine drip$medicine,1
right$modifier$third$modifier$fourth$modifier$toes$anatomical_structure$gangrene$problem,1
terminal ileum$anatomical_structure,1
lesion$problem,8
abdomen$anatomical_structure$soft$modifier$obese$modifier$nontender$modifier,1
right$modifier$upper$modifier$extremity$anatomical_structure,1
tissue$anatomical_structure$chronic$modifier$inflammation$problem,1
uterus$anatomical_structure$clot$problem,1
ct scan$procedure$negative$modifier$abdomen$anatomical_structure,1
bones$anatomical_structure,1
transependymal csf flow$finding,1
lungs$anatomical_structure$crackles$problem,1
fibromyalgia$problem,2
induration$problem$abdominal wall$anatomical_structure,1
inr$laboratory_data$normal$modifier,1
motor$body_function,1
orthognathic surgery$procedure,1
head$anatomical_structure$atraumatic$modifier$normocephalic$modifier,2
cerebral atrophy$problem,1
q-tip foreign body$finding,1
superior aspect$modifier$cartilaginous septum$anatomical_structure,1
chronic$modifier$obstructive pulmonary disease$problem,8
left$modifier$radical nephrectomy$procedure,1
mild$modifier$inflammation$problem,1
zyrtec$medicine,1
spinal needle$medical_device,2
meat impaction$problem,1
lactated ringer's$medicine,1
left$modifier$lower$modifier$leg$anatomical_structure$prepped$procedure,1
infections$problem,1
lomotil$medicine,1
heart rate$body_measurement$50s$measurement_value,1
ulcer$problem$full thickness$modifier$bone$anatomical_structure,1
blood pressure$body_measurement$104/80$measurement_value,1
latex sensitivity$problem$negative$modifier,9
blood pressure$body_measurement$140/95$measurement_value,1
seizure$problem,3
tourniquet$medical_device,8
tr signal$body_function,1
ascending colon$anatomical_structure$biopsy$procedure,1
chronic$modifier$obstructive$modifier$pulmonary$anatomical_structure$disease$problem,8
convulsing$problem,1
some$modifier$ibuprofen$medicine,1
nonobstructive$modifier$kidney$anatomical_structure$stones$problem,1
toxicity issues$problem,1
chest$anatomical_structure$bilateral$modifier$rhonchi$problem,1
strep$problem$negative$modifier,1
femoral$procedure$left$modifier$leg$anatomical_structure,1
sternal flap$procedure,1
positive$modifier$urine toxicology$laboratory_data,1
nystagmus$problem,1
uterus$anatomical_structure,5
mild$modifier$systolic dysfunction$problem,1
para 2$finding,4
chronic$modifier$hepatitis c$problem,1
pleural$problem,1
stage iv$modifier$lung$anatomical_structure$cancer$problem,1
xa inhibitor$medicine,1
peripheral$modifier$retina$anatomical_structure$normal$modifier,1
iv zosyn$medicine,1
